person_id,name,alternate_names,sex,race,age,date_of_death,active_duty,veteran,military_service_details,occupation,occupation_sectors,prisoner,incident_id,case_abstract,incident_date,incident_date_approx,incident_year_range_beg,incident_year_range_end,city,county,state,geonames_id_city,geonames_id_county,geonames_id_state,location_type,allegation_against_victim,perp_group_police,perp_group_posse,perp_group_mob,perp_group_hate,coroner_inquest,exoneration,grand_jury,charge,arrest,trial,conviction,sentence,case_id_fbi,case_id_doj,alleged_perpetrators
1267,Dan W. Stephens,Dan W. Stephen||Dan Stephens,m,African American,19,7/12/47,,TRUE,World War II,,,TRUE,141,"Edward Neal (1922 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Neal was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time, and was heard yelling to the guards “Let ‘em have it.” A federal jury acquitted. An essay on this case, researched and authored by a CRRJ student, is available on request.

Henry Manson (1910 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Manson was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals. An essay on this case, researched and authored by a CRRJ student, is available on request.

James Smith (1917 – 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Smith was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

George Patterson, 29, was killed in 1947 by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Patterson was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Willie Frank Chambers (1911 – 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Chambers was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Jonah Smith (1920 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Smith was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Dan W. Stephens (1927 - 1947), WWII veteran, was killed by Warden H.G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Stephen was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Willie Amos Wright (1921 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Wright was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fireand ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

",7/11/47,,1947,1947,Brunswick,Glynn County,Georgia,4184845,4197388,4197000,carceral location,refusing to work under dangerous conditions,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,FALSE,,Atlanta 44-226||Savannah 44-84,144-20-22,Russell B. Henderson||Guy McNabb||W. C. Lawler||H. L. Holmes||Remer Bazemore||[given name unknown] Dean||H. G. Worthy
1268,Willie Frank Chambers,,m,African American,36,7/14/47,,,,,,TRUE,141,"Edward Neal (1922 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Neal was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time, and was heard yelling to the guards “Let ‘em have it.” A federal jury acquitted. An essay on this case, researched and authored by a CRRJ student, is available on request.

Henry Manson (1910 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Manson was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals. An essay on this case, researched and authored by a CRRJ student, is available on request.

James Smith (1917 – 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Smith was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

George Patterson, 29, was killed in 1947 by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Patterson was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Willie Frank Chambers (1911 – 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Chambers was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Jonah Smith (1920 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Smith was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Dan W. Stephens (1927 - 1947), WWII veteran, was killed by Warden H.G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Stephen was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fire and ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

Willie Amos Wright (1921 - 1947) was killed by Warden H. G. Worthy and prison guards Remer Bazemore, Guy McNabb, H. L. Holmes and W. L. Lawler in Glynn County, Georgia. Wright was among eight prisoners killed at Glynn County Prison when Warden Worthy opened fireand ordered prison guards to shoot at a group of prisoners who were allegedly rebelling. Multiple prisoners testified that Worthy was drunk at the time and was heard yelling to the guards “Let ‘em have it.” Federal proceedings resulted in acquittals and dismissals. An essay on this case, researched and authored by a CRRJ student, is available on request.

",7/11/47,,1947,1947,Brunswick,Glynn County,Georgia,4184845,4197388,4197000,carceral location,refusing to work under dangerous conditions,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,FALSE,,Atlanta 44-226||Savannah 44-84,144-20-22,Russell B. Henderson||Guy McNabb||W. C. Lawler||H. L. Holmes||Remer Bazemore||[given name unknown] Dean||H. G. Worthy
889,Richard Marshall,Richard Marshall Newton,m,African American,43,6/16/33,,,,farmer,agricultural,,142,"Richard Marshall, 43, a farmer, was killed in 1933 in Baker County, Georgia. Marshall was found hanging from a tree with nine bullet holes in his body. Marshall’s body was found in close proximity to where the body of T. J. Thomas, who had been lynched days earlier, was discovered. An essay on this case, researched and authored by a CRRJ student, is available on request.
",6/16/33,,1933,1933,Newton,Baker County,Georgia,4212728,4180816,4197000,public space - rural,killing a white man,,,,,,,,,,,,,,,
849,Phillip Baker,Will Baker||Henry Phillip Baker||Philip Baker||W. P. Baker,m,African American,32,3/14/36,,,,,,,143,"Phillip Baker, 32, was killed in 1936 by a mob in Chattahoochee County, Georgia. While being transferred from one jail to another one, Baker, who was accused of attacking two white women and beating a Black woman, was kidnapped, hanged, and shot by a mob of between thirty and forty masked men. A grand jury investigated the matter.  The official record states that Baker came to his death at the hands of “parties unknown.”
",3/14/36,,1936,1936,Cusseta,Chattahoochee County,Georgia,4190434,4187416,4197000,public space - rural,attacking two white women and a Black woman,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,
6,A. L. McCamy Jr.,A. L. McCain||Alonzo McCamy,m,African American,21,9/6/36,,,,,laborer,,144,"A. L. McCamy Jr., 21, a laborer, was killed by a mob in 1936 in Whitfield County, Georgia. McCamy was arrested after allegedly breaking into the house of a widow. McCamy was taken from his jail cell, shot and hanged by a mob of about 200 white individuals.The sheriff claimed to be asleep. ",9/6/36,,1936,1936,Dalton,Whitfield County,Georgia,4190581,4230822,4197000,public space - urban,attacking a white girl,,,TRUE,,TRUE,TRUE,,,,,,,,,
1156,William Kirkland,Willie Kirkling,m,African American,20,9/25/30,,,,,,TRUE,145,"William Kirkland, 20, was killed in 1930 by a mob in Thomas County, Georgia. While being transferred from one jail to another, Kirkland, who was serving a sentence for horse stealing, was taken away from the sheriffs and several deputies by a mob of around 75 men. The mob hanged him to a tree and shot him. A white girl had identified Kirkland as the man who attacked her. After his lynching, the warden attested to the fact that Kirkland had been at the jail all day on the day the girl claimed she had been attacked, and that the mob had lynched the wrong man. An essay on this case, researched and authored by a CRRJ student, is available on request.
",9/25/30,,1930,1930,Thomasville,Thomas County,Georgia,4226348,4226286,4197000,public space - urban,attacking a white girl; rape,,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,,,,,
650,John Rushin,John Rushkin,m,African American,55,5/3/36,,,,farm laborer,agricultural,,146,"John Rushin, 55, a farm hand, was killed in 1936 by a mob in Thomas County, Georgia. Rushin, who was arrested allegedly for stabbing one white man to death and seriously wounding another, was taken from police custody and shot to death by the mob. His body was found near a creek. ",5/3/36,,1936,1936,Pavo,Brooks County,Georgia,4215033,4184557,4197000,public space - rural,murdering a white man,,,TRUE,,TRUE,TRUE,,,,,,,,,
732,Lewis Harris,Louis Harris,m,African American,50,9/27/35,,,,,,,147,"Lewis Harris was lynched and killed by a mob in 1935 in Dooly County, Georgia. Harris was arrested, allegedly for drunkenness and for threatening a white sheriff with a gun. While being transferred to another city for safekeeping, Harris was abducted by the mob.",9/27/35,,1935,1935,Vienna,Dooly County,Georgia,4228440,4191760,4197000,public space - rural,attacking a police officer; pulling a gun on a police officer,TRUE,,TRUE,,TRUE,TRUE,,,,,,,,,[given name unknown] Vinson
738,Lent Shaw,Lint Shaw||Linton Shaw,m,African American,,4/27/36,,,,farmer,agricultural,,148,"Lent Shaw (1894 – 1936), a farmer, was killed by a mob in Madison County, Georgia. Shaw, who was accused of attacking two white girls–an accusation he denied–was taken from jail hours before his trial by a mob of 40 and was shot and lynched.. A mob had previously attempted to lynch Shaw but was stopped a by a judge. An essay on this case, researched and authored by a CRRJ student, is available on request.",4/27/36,,1936,1936,Colbert,Madison County,Georgia,4188708,4207451,4197000,public space - rural,attacking a white girl,,,TRUE,,TRUE,TRUE,,,,,,,,,
613,Joe Nathan Roberts,Roy Nathan Roberts||Nathan Roberts,m,African American,23,5/29/47,,TRUE,Navy,lumber company worker,industrial / resource extraction,,149,"Joe Nathan Roberts, 23, a lumber company worker and Navy veteran, who was pursuing radio studies at Temple University, was killed in 1947 by a mob in Burke County, Georgia. The mob shot him to death, the NAACP files state, “because he refused to say ‘yes, sir’ and ‘no, sir’ to white residents of Sardin.” ",5/29/47,,1947,1947,Sardis,Burke County,Georgia,4221394,4185265,4197000,victim's home,"refusing to say ""yes, sir"" and ""no, sir"" to whites; shooting at a police officer; workplace dispute",TRUE,,,,,,,,,,,,,,Otis Cliett||C. L. McNarrell
686,Lacy Mitchell,,m,African American,53,9/28/30,,,,farmer,agricultural,,150,"Lacy Mitchell, 53, a farmer, was killed in 1930 by Jack Bradley and O. E. Allen in Gwinnett County, Georgia. A group of masked men shot Mitchell at his home because he had testified against two white men charged with raping a young Black girl. Bradley declared that he had fired the shot that killed Mitchell, alleging self-defense. A trial jury returned convictions.",9/27/30,,1930,1930,Thomasville,Thomas County,Georgia,4226348,4226286,4197000,victim's home,"testifying against two white men charged with raping his cousin, a Black woman",,,,,,,,,TRUE,TRUE,TRUE,life sentences were given to two white men for the lynching; the two white rapists against whom Mitchell testified got one year in jail each,,,O. E. Allen||Jack Bradley||C. V. Moore||Henry Price
1150,William Johnson,Willie Johnson,m,African American,55,5/3/49,,,,county employee (road gang),public sector||building trades / construction,,151,"William Johnson, 55, a county employee and Baptist church deacon, was killed in 1949 by police officers Leonard Clayton Sapp and Woodrow Wilson Woodham in Glynn County, Georgia. Sapp and Woodham claimed that they stopped Johnson on the street because he was “acting in a suspicious manner.” Sapp then wrestled with Johnson, alleging that the victim had a pistol. Woodham fired at Johnson. Grand jury declined to indict. An essay on this case, researched and authored by a CRRJ student, is available on request.
",5/3/49,,1949,1949,Brunswick,Glynn County,Georgia,4184845,4197388,4197000,public space - urban,standing on a corner and looking suspiciously at a house; attacking a police officer with a pistol,TRUE,,,,TRUE,TRUE,TRUE,,,,,,Savannah 44-147,144-20-45,Leonard Clayton Sapp||Woodrow Wilson Woodham
587,Jesse Jefferson,,m,African American,52,6/12/48,,,,tenant farmer,agricultural,,152,"Jesse Jefferson, 52, a tenant farmer, was killed in 1948 by a group of white men including A. G. Wilder, Jerry Thomas and John Hobbs in Butts County, Georgia. Jefferson and the men had reportedly got into a dispute when they claimed he failed to pull his wagon to the side of the road to permit their car to pass. When Jefferson got home he gathered his family and went to a neighbor's house. Shortly thereafter, Jefferson was shot and killed when the men fired into the neighbor’s house. The three shooters were arrested. Charges against John Hobbs were dropped. Wilder and Thomas were charged with voluntary manslaughter but were acquitted.
",6/12/48,,1948,1948,,Butts County,Georgia,,4185484,4197000,private space - domestic,being involved in a traffic altercation,,,,,,,TRUE,,TRUE,,FALSE,,Atlanta 44-262,144-19M-52||144-19N-52,John Henry Hobbs||Jerry Thomas||A. B. Wilder
1036,Thomas Finch,Tom Finch,m,African American,28,9/12/36,,,,orderly at Grady Hospital,public sector,,153,"Thomas Finch, 28, a hospital orderly, was killed in 1936 by Detective S. W. Roper in Atlanta, Georgia. Finch was arrested and transported to the police station in connection with an alleged attempted attack on a white woman. Roper claimed that he shot Finch when the victim attempted to flee and grab the officer’s gun. An essay on this case, researched and authored by a CRRJ student, is available on request.",9/12/36,,1936,1936,Atlanta,Fulton County,Georgia,4180439,4196508,4197000,victim's home,assaulting a white woman; resisting arrest,TRUE,,TRUE,,,,,,,,,,,,J. W. Cody||S. W. Roper
450,Henry P. Thomas,"Henry Thomas||Henry ""Pee Wee"" Thomas||Henry Peewee Thomas",m,African American,22,7/14/33,,,,tenant farmer,agricultural,,154,"Henry P. Thomas, 22, a farmer, was killed in 1933 by McKinley Jordan, Cliff Snider, Dave Mills, Douglas Mills in Sumter County, Georgia. The four white men, who were prominent farmers, shot and killed Thomas reportedly during a fight. They were charged with the homicide.. Trial jury acquitted. An essay on this case, researched and authored by a CRRJ student, is available on request.",7/14/33,,1933,1933,Americus,Sumter County,Georgia,4179667,4225168,4197000,public space - rural,fighting with a white man; dispute over pay,,,,,,,TRUE,,TRUE,TRUE,FALSE,,,,Douglas Mills||B. B. Mills||McKinley Jordan||Cliff Snider||Dave Mills
572,James Walter Oliver,James W. Oliver||James Oliver,m,African American,25,3/16/45,,,,worked at a dairy,agricultural,,157,"James Walter Oliver (1919 – 1945), an employee at a dairy facility, was killed by police officers in Chatham County, Georgia. A white man named Elmer Groves was walking down the street with an unnamed white woman. As Oliver passed them, he and Groves bumped into each other. An argument ensued. Groves ran to a telephone and the woman screamed that she had been attacked. When the police arrived, they beat and shot Oliver, alleging that he resisted arrest and sought to run away.",3/16/45,,1945,1945,Savannah,Chatham County,Georgia,4221552,4187390,4197000,public space - urban,assaulting a white woman; resisting arrest; bumping into a white man,TRUE,,TRUE,,,TRUE,,,,,,,,,Elmer Groves
451,Henry Gilbert,"Henry ""Peg"" Gilbert||Henry 'Peg' Gilbert||Henry Peg Gilbert",m,African American,42,5/22/47,,,,farmer,agricultural,,159,"Henry “Peg” Gilbert, 42, a prosperous farmer and church deacon, was killed in 1947 by Police Chief W. H. Buchanan in the Harris County jail in Harris County, Georgia. Gilbert was being held for allegedly aiding and hiding Gus Davidson, a man accused of killing a white farmer after an argument over a cow that Davidson had accidentally run over. Buchanan claimed Gilbert attacked him in jail, and that he fired shots in self-defense. An essay on this case, researched and authored by a CRRJ student, is available on request.

Gus Davidson, born in 1919, fled the scene of the shooting death of a white man, Olin Sands, whose calf Davidson accidentally drove over in Troup County, Georgia. Davidson was eventually arrested in Camden, New Jersey in 1951 and extradited to Troup County jail to stand trial for murder. An essay on this case, researched and authored by a CRRJ student, is available on request.
",5/22/47,,1947,1947,LaGrange,Troup County,Georgia,4204230,4227166,4197000,carceral location,aiding in the escape of Gus Davidson; accused of killing a mill owner,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,"death by electric chair, commuted to life imprisonment",Atlanta 44-211,144-19M-27,William H. Buchanan
1430,Gus Davidson,Gus Davidson,m,African American,42,5/23/47,,,,,,,159,"Henry “Peg” Gilbert, 42, a prosperous farmer and church deacon, was killed in 1947 by Police Chief W. H. Buchanan in the Harris County jail in Harris County, Georgia. Gilbert was being held for allegedly aiding and hiding Gus Davidson, a man accused of killing a white farmer after an argument over a cow that Davidson had accidentally run over. Buchanan claimed Gilbert attacked him in jail, and that he fired shots in self-defense. An essay on this case, researched and authored by a CRRJ student, is available on request.

Gus Davidson, born in 1919, fled the scene of the shooting death of a white man, Olin Sands, whose calf Davidson accidentally drove over in Troup County, Georgia. Davidson was eventually arrested in Camden, New Jersey in 1951 and extradited to Troup County jail to stand trial for murder. An essay on this case, researched and authored by a CRRJ student, is available on request.
",5/22/47,,1947,1947,LaGrange,Troup County,Georgia,4204230,4227166,4197000,carceral location,aiding in the escape of Gus Davidson; accused of killing a mill owner,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,"death by electric chair, commuted to life imprisonment",Atlanta 44-211,144-19M-27,William H. Buchanan
218,Denice Harris,"""Skin""||Denice Green",m,African American,22,5/11/45,,TRUE,,Pullman porter,service,,160,"Denice Harris, 22, a Pullman porter and WWII veteran, was killed in 1945 by police officers Earl E. Peppers and Charles Wheeler, and by Edward Greer, a white man, in Atlanta, Georgia. Harris was riding in a car with his friend Charles Johnson when he was shot and killed. A white woman, Mrs. Greer, reported to the police that Johnson had made improper advances on her. The two police officers and Greer, her husband, ambushed and shot at the car that Johnson and Harris were in, killing Harris. ",5/11/45,,1945,1945,College Park,Fulton County,Georgia,4188815,4196508,4197000,public space - urban,driving a white woman to meet a white man for an illicit affair,TRUE,,,,TRUE,TRUE,,,,,,,,,R. W. Moore||Charles Wheeler||R. W. Moore||Earl E. Peppers||W. L. Creel||Edward Greer
364,George Curry,George Hill||George Till,m,African American,52,11/15/46,,TRUE,World War I,tenant farmer,agricultural,,161,"George Curry, 52, a tenant farmer and WWI veteran, was killed in 1946 by a posse in Wilkinson County, Georgia. Curry had killed 65-year-old Dora Gilbert and seriously injured Sam Gilbert, a mail carrier. The Gilberts owned the farm where Curry worked. Curry’s wife reportedly told authorities that Curry shot the couple and set fire to the barn. A posse of 75 white men hunted down Curry and shot him to death.",11/15/46,,1946,1946,Toomsboro,Wilkinson County,Georgia,4226808,4231046,4197000,private space - agricultural or industrial,murdering a white woman; injuring a white man,TRUE,TRUE,TRUE,,,,,,,,,,,,Jake Hill||Jake Waters
764,Madison Harris,,m,African American,21,4/10/46,,TRUE,World War II,domestic laborer,service,,162,"Madison Harris, 21, a domestic laborer and WWII veteran, was killed in 1946 by T. H. Purl, a streetcar motorman in Atlanta, Georgia. Witnesses claimed Harris had disembarked from the trolley when Harris shot him.  Purl claimed the young man flashed a gun on the streetcar, then got off.  Grand jury declined to indict. A Recorder’s Court judge cleared Purl. An essay on this case, researched and authored by a CRRJ student, is available on request.",4/10/46,,1946,1946,Atlanta,Fulton County,Georgia,4180439,4196508,4197000,public conveyance,having a gun,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,Thomas H. Purl
506,J. H. Wilkins,John H. Wilkins,m,African American,45,4/5/30,,,,Pullman porter,service,,163,"J. H. Wilkins, about 45, a porter, was killed in 1930 in Henry County, Georgia. Wilkins’s body was found hanging from a tree a short distance from a railroad track. The train on which he was working had passed through a few hours before the body was found. Officers investigating the case hypothesized that he may have been hit over the head and thrown from the train, or struck after he was taken from the train.",4/5/30,,1930,1930,Locust Grove,Henry County,Georgia,4206502,4200051,4197000,private space - agricultural or industrial,,,,,,TRUE,TRUE,,,,,,,,,
89,Bo Brinson,Bo Bronson,m,African American,30,10/17/35,,,,wage hand on farm,agricultural,,164,"Bo Brinson, about 30, a farm worker, was killed in 1935 by a posse in Colquitt County, Georgia. The posse was searching Brinson’s home for a Black man accused of killing a white man.  They did not find the man they were searching for but became enraged and beat and shot Brinson. An essay on this case, researched and authored by a CRRJ student, is available on request.",10/16/35,,1935,1935,Moultrie,Colquitt County,Georgia,4210397,4188937,4197000,victim's home,accused in case of mistaken identity,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,
635,John J. Gilbert,John Gilbert||John C. Gilbert,m,African American,,8/3/46,,,,chalk miner,industrial / resource extraction,,165,"John J. Gilbert, 34, a chalk mill worker and union organizer, was killed in 1946 in Wilkinson County, Georgia. Gilbert was shot to death and found on the roadside 500 yards near his home, possibly  because of his participation in the recent unionizing movement in the chalk mines.",8/3/46,,1946,1946,Gordon,Wilkinson County,Georgia,4197593,4231046,4197000,public space - urban,engaging in union activity,,,,,TRUE,TRUE,,,,,,,,,
658,John Willie Clark,Willie Clark||John William Clark,m,African American,28,10/1/30,,,,,,TRUE,167,"John Willie Clark, 28, was killed by a mob in 1930 in Bartow County, Georgia. The mob seized John Willie Clark from Bartow County Jail and hung him from a telephone pole. It was reported that a deputy unlocked the cell to allow the mob in. Clark was accused of  killing Police Chief Joe Ben Jenkins.",10/1/30,,1930,1930,Cartersville,Bartow County,Georgia,4186531,4181218,4197000,public space - urban,murdering a police officer,,,TRUE,,TRUE,,,,,,,,,,
365,George Dorsey,,m,African American,,7/25/46,,TRUE,"private first class, 593rd Army Air Forces Base Unit",sharecropper,agricultural,,169,"George Dorsey, age early 20s, a sharecropper and veteran, was killed in 1946 in Walton County, Georgia. A white farmer was driving Dorsey, his wife Mae Dorsey, her sister, Dorothy Malcolm and Dorothy’s husband Roger Malcolm to his farm after bailing Malcolm out of jail.  Roger Malcolm had allegedly stabbed Barney Hester, Jr., his white former employer.  A mob seized the car, kidnapped the two couples, and killed them.  

Dorothy Malcolm, a farmer, was killed in 1946 in Walton County, Georgia. A white farmer was driving Mrs. Malcolm, her husband Roger Malcolm, her sister, Mae Dorsey and Dorsey’s husband George Dorsey to his farm after bailing Malcolm out of jail.  Roger Malcolm had allegedly stabbed Barney Hester, Jr., his white former employer. A mob seized the car, kidnapped the two couples, and killed them. 

Roger Malcolm, age early 20s, a farmer, was killed in 1946 in Walton County, Georgia. A white farmer was driving Malcolm, his wife Dorothy Malcolm, her sister, Mae Dorsey and Mae’s husband George Dorsey to his farm after bailing Malcolm out of jail.  Roger Malcolm had allegedly stabbed Barney Hester, Jr., his white former employer.  A mob seized the car, kidnapped the two couples, and killed them. 

Mae Murray Dorsey, a farmer, was killed in 1946 in Walton County, Georgia. A white farmer was driving Mae Dorsey, her husband George Dorsey, her sister, Dorothy Malcolm and Dorothy’s husband Roger Malcolm to his farm after bailing Malcolm out of jail.  Roger Malcolm had allegedly stabbed Barney Hester, Jr., his white former employer.  A mob seized the car, kidnapped the two couples, and killed them. ",7/25/46,,1946,1946,Monroe,Walton County,Georgia,4209884,4229371,4197000,public space - rural,arguing,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,Atlanta 44-203||Atlanta 44-136||Chicago 44-57||Knoxville 44-40||Newark 44-21,144-20-18||144-19M-25||144-19M-16||144-19M-14,[given name unknown] Hardigree||John Aycock||Louis Howard||E. L.  Almand||Barney Hester||Loy Harrison||Weldon Hester
